Mins,BF,4s,6s,SR,Position,Dismissal,Run,year,Opposition_ England,Opposition_ New Zealand,Opposition_ Pakistan,Opposition_ Sri Lanka,Opposition_Afghanistan,Opposition_Australia,Opposition_Bangladesh,Opposition_England,Opposition_Hong Kong,Opposition_Ireland,Opposition_Namibia,Opposition_Netherlands,Opposition_New Zealand,Opposition_Pakistan,Opposition_Scotland,Opposition_South Africa,Opposition_Sri Lanka,Opposition_U.A.E.,Opposition_West Indies,Opposition_Zimbabwe,Ground_Abu Dhabi,Ground_Adelaide,Ground_Ahmedabad,Ground_Auckland,Ground_Bengaluru,Ground_Birmingham,Ground_Brisbane,Ground_Bristol,Ground_Canberra,Ground_Cardiff,Ground_Centurion,Ground_Chennai,Ground_Colombo (RPS),Ground_Cuttack,Ground_Delhi,Ground_Dharamsala,Ground_Dubai (DSC),Ground_Dublin (Malahide),Ground_Durban,Ground_Eden Gardens,Ground_Guwahati,Ground_Hamilton,Ground_Harare,Ground_Hyderabad,Ground_Indore,Ground_Johannesburg,Ground_Kanpur,Ground_Kingston,Ground_Lauderhill,Ground_Manchester,Ground_Melbourne,Ground_Mirpur,Ground_Mohali,Ground_Nagpur,Ground_Nottingham,Ground_Pallekele,Ground_Perth,Ground_Port of Spain,Ground_Providence,Ground_Pune,Ground_Rajkot,Ground_Ranchi,Ground_Sydney,Ground_Thiruvananthapuram,Ground_Visakhapatnam,Ground_Wankhede,Ground_Wellington
30,21,3,1,123.8,5,1,26,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,19,5,0,147.36,1,0,28,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,12,2,0,116.66,3,0,14,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5,5,0,0,80,4,0,4,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,16,3,0,93.75,3,0,15,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,21,0,1,104.76,3,0,22,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
29,24,3,0,129.16,3,0,31,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,48,11,1,141.66,3,0,68,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
